,latitude,longitude,time,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
130,28.65,63.0,2010-02-01,-0.45322144,0.13488746,271.9414,289.82513,0.0,-0.0006425957,8.927974,285.89774,0.7997363,0.0,-1.1920929e-07,291.62933,0.0,0.0,-9.313226e-10,291.67325,291.2893,294.4806,-1606849.0,13960636.0,-9559275.0,94553.125,2.8684735e-06,17616170.0,25702504.0,273.16058,-0.0006426987,0.0007332824
131,28.65,63.0,2010-03-01,0.40963435,-1.1718507,270.3194,298.1754,0.0,-0.000101775164,4.382124,291.43976,0.7999141,0.0,-1.1920929e-07,302.36258,0.0,0.0,-9.313226e-10,302.0921,300.0415,296.90384,-254325.0,18708624.0,-13176588.0,94379.97,0.0,23577830.0,27563986.0,273.16058,-0.00010178797,3.283471e-05
132,28.65,63.0,2010-04-01,0.54294205,-1.3073524,272.62845,303.62097,0.0,-8.552894e-05,3.5563831,296.24182,0.79994607,0.0,-1.1920929e-07,308.9661,0.0,0.0,-9.313226e-10,308.62482,305.96707,301.23804,-213759.0,20869756.0,-13895296.0,93985.23,0.0,26370034.0,30537102.0,273.15988,-8.559879e-05,9.931624e-06
133,28.65,63.0,2010-05-01,1.0723145,-1.7209382,274.1513,307.55865,0.0,-0.000106329564,3.6695652,299.27695,0.79991764,0.0,-1.1920929e-07,313.0689,0.0,0.0,-9.313226e-10,312.76633,310.369,305.2118,-265779.0,21924240.0,-14392106.0,93622.49,0.0,27660708.0,32442040.0,273.15988,-0.0001063589,1.1838973e-05
134,28.65,63.0,2010-06-01,2.1359892,-3.3331184,272.33298,308.95557,0.0,-0.00010680547,5.4014874,298.24402,0.7997541,0.0,-1.1920929e-07,313.38025,0.0,0.0,-9.313226e-10,313.16504,311.50763,307.48657,-267211.0,22788934.0,-15069823.0,93285.195,0.0,28743604.0,31871568.0,273.15988,-0.00010673981,8.97795e-06
135,28.65,63.0,2010-07-01,2.1632078,-3.1338892,276.36118,309.46396,0.0,-0.00010564993,5.068344,299.2561,0.79965097,0.0,-1.1920929e-07,314.06665,0.0,0.0,-9.313226e-10,313.92517,312.9303,309.22748,-264347.0,21675064.0,-14456872.0,93039.81,0.0,27524244.0,32887704.0,273.16058,-0.00010559708,2.2985041e-06
136,28.65,63.0,2010-08-01,2.7073686,-3.989706,273.4839,307.30215,0.0,-8.797599e-05,6.2784824,296.90158,0.7994625,0.0,-1.1920929e-07,310.75922,0.0,0.0,-9.313226e-10,310.6775,310.288,309.10962,-219963.0,20494186.0,-13627762.0,93339.36,0.0,26007308.0,31729078.0,273.15988,-8.7884255e-05,1.3411045e-06
137,28.65,63.0,2010-09-01,2.6645045,-4.0296164,268.9474,302.1374,0.0,-6.6223554e-05,6.5254936,294.0632,0.79969716,0.0,-1.1920929e-07,305.0572,0.0,0.0,-9.313226e-10,305.14462,306.27698,307.95807,-165557.0,18855482.0,-13750462.0,93846.53,0.0,23925150.0,28347688.0,273.15988,-6.61714e-05,3.874302e-07
138,28.65,63.0,2010-10-01,0.83356106,-2.6568975,272.41357,299.8739,0.0,-5.7862373e-05,4.7394714,294.09796,0.799939,0.0,-1.1920929e-07,302.6159,0.0,0.0,-9.313226e-10,302.7221,304.00323,305.9655,-144558.0,15760241.0,-12389563.0,94183.01,0.0,20039924.0,28427524.0,273.16058,-5.7981815e-05,2.5199726e-05
139,28.65,63.0,2010-11-01,0.7849103,-2.6160216,267.40283,290.53455,0.0,-3.128359e-05,4.816351,289.10553,0.7999141,0.0,-1.1920929e-07,293.063,0.0,0.0,-9.313226e-10,293.35373,296.36383,302.85654,-78220.0,13354347.0,-11565645.0,94782.914,0.0,16903482.0,24282644.0,273.16058,-3.131712e-05,1.3411045e-06
140,28.55,63.0,2010-02-01,-0.3683504,0.44998527,272.2338,290.1833,0.0,-0.0005995666,8.470257,286.3046,0.79976475,0.0,-1.1920929e-07,291.77652,0.0,0.0,-9.313226e-10,291.79974,291.2987,294.62793,-1499468.0,13363576.0,-9417447.0,95268.75,2.2947788e-06,17627616.0,25914724.0,273.16058,-0.0005996544,0.0006636176
141,28.55,63.0,2010-03-01,0.57680464,-0.89634144,270.50845,298.45966,0.0,-8.8451896e-05,4.257551,291.7926,0.7998963,0.0,-1.1920929e-07,302.33286,0.0,0.0,-9.313226e-10,302.07886,300.17062,296.8041,-221395.0,18016870.0,-12938022.0,95075.89,0.0,23609084.0,27775196.0,273.16058,-8.845562e-05,2.233684e-05
142,28.55,63.0,2010-04-01,0.71332705,-1.155436,272.87125,304.01495,0.0,-8.437317e-05,3.3357105,296.70804,0.7999532,0.0,-1.1920929e-07,308.9831,0.0,0.0,-9.313226e-10,308.65372,306.1009,300.9388,-210895.0,20091332.0,-13659462.0,94666.38,0.0,26454112.0,30773072.0,273.15988,-8.4456056e-05,9.931624e-06
143,28.55,63.0,2010-05-01,1.2351985,-1.5397329,274.40546,307.94574,0.0,-0.00010408647,3.5521107,299.6052,0.7999141,0.0,-1.1920929e-07,312.96133,0.0,0.0,-9.313226e-10,312.67596,310.4312,304.8831,-260052.0,20983308.0,-14075930.0,94293.8,0.0,27695044.0,32683062.0,273.15988,-0.000104073435,9.931624e-06
144,28.55,63.0,2010-06-01,2.346238,-3.0965538,272.57266,309.3438,0.0,-0.00010456215,5.3609123,298.53113,0.79977185,0.0,-1.1920929e-07,313.2996,0.0,0.0,-9.313226e-10,313.094,311.49823,307.23834,-261484.0,21717596.0,-14715115.0,93953.22,0.0,28697384.0,32168678.0,273.15988,-0.0001046448,9.931624e-06
145,28.55,63.0,2010-07-01,2.383101,-2.8921747,276.54507,309.88223,0.0,-0.00010381453,5.0405807,299.4833,0.7996758,0.0,-1.1920929e-07,314.05957,0.0,0.0,-9.313226e-10,313.92517,312.98315,309.04388,-259575.0,20663112.0,-14105716.0,93705.375,0.0,27470980.0,33224226.0,273.16058,-0.00010388298,1.3411045e-06
146,28.55,63.0,2010-08-01,2.8361754,-3.6990695,273.6492,307.6846,0.0,-8.6548505e-05,6.1588917,297.27634,0.7995727,0.0,-1.1920929e-07,310.7196,0.0,0.0,-9.313226e-10,310.64136,310.27155,309.04727,-216622.0,19504302.0,-13296556.0,94013.125,0.0,25938196.0,32032756.0,273.15988,-8.655107e-05,1.3411045e-06
147,28.55,63.0,2010-09-01,2.8994002,-3.6311579,269.0073,302.40546,0.0,-6.459211e-05,6.3952255,294.4754,0.7997612,0.0,-1.1920929e-07,304.86615,0.0,0.0,-9.313226e-10,304.96033,306.14197,307.92407,-161739.0,17968720.0,-13394114.0,94535.89,0.0,23926030.0,28596796.0,273.15988,-6.464776e-05,3.874302e-07
148,28.55,63.0,2010-10-01,0.97694176,-2.312189,272.6057,300.08072,0.0,-5.391985e-05,4.543001,294.61227,0.79994255,0.0,-1.1920929e-07,302.42624,0.0,0.0,-9.313226e-10,302.53418,303.81424,305.87936,-135013.0,15027559.0,-12056990.0,94874.83,0.0,20080422.0,28660462.0,273.16058,-5.3981785e-05,1.37500465e-05
149,28.55,63.0,2010-11-01,1.0243068,-2.2069418,267.62082,290.57962,0.0,-2.9924093e-05,4.6512012,289.5001,0.7999141,0.0,-1.1920929e-07,292.66672,0.0,0.0,-9.313226e-10,292.96823,296.05276,302.73413,-74879.0,12703921.0,-11187708.0,95500.18,0.0,16935176.0,24467580.0,273.16058,-2.998393e-05,1.3411045e-06
240,27.55,63.0,2010-02-01,1.972248,1.8304284,271.9259,289.47156,0.0,-0.00015071826,12.7456045,285.66516,0.7807236,0.0,-1.1920929e-07,291.5402,0.0,0.0,-9.313226e-10,291.56122,292.057,293.9207,-376978.0,13927733.0,-9858782.0,92223.25,5.736947e-07,18386964.0,25325054.0,273.16058,-0.00015073642,0.00020842254
241,27.55,63.0,2010-03-01,1.8875912,-0.039880753,269.88754,297.55957,0.0,-8.620857e-05,6.078453,290.63513,0.79412526,0.0,-1.1920929e-07,300.83127,0.0,0.0,-9.313226e-10,300.5887,298.72562,296.59668,-215668.0,18183388.0,-12749190.0,92108.36,0.0,24072178.0,27123374.0,273.16058,-8.6170156e-05,2.2985041e-06
242,27.55,63.0,2010-04-01,2.703082,0.18509722,273.0169,302.73242,0.0,-7.444876e-05,4.666151,294.6267,0.79982877,0.0,-1.1920929e-07,307.2579,0.0,0.0,-9.313226e-10,306.91302,304.1042,300.51038,-186078.0,20069262.0,-13384276.0,91761.21,0.0,26575608.0,30009076.0,273.15988,-7.436145e-05,9.931624e-06
243,27.55,63.0,2010-05-01,2.5391266,-0.27000833,275.00882,306.36395,0.0,-9.3006296e-05,4.35009,297.2341,0.7998252,0.0,-1.1920929e-07,311.13144,0.0,0.0,-9.313226e-10,310.8088,308.1915,304.21213,-232372.0,20922320.0,-13783254.0,91440.33,0.0,27669952.0,31848326.0,273.15988,-9.302655e-05,4.9056485e-05
244,27.55,63.0,2010-06-01,3.0423522,-1.9687679,274.81146,307.39343,0.0,-9.2258444e-05,6.0656395,296.73636,0.7997363,0.0,-1.1920929e-07,311.26022,0.0,0.0,-9.313226e-10,311.03406,309.1482,306.1151,-230940.0,21259770.0,-14075656.0,91139.15,0.0,28074498.0,31554248.0,273.15988,-9.226473e-05,6.1132014e-06
245,27.55,63.0,2010-07-01,2.5770617,-2.1815152,278.2229,307.51822,0.0,-8.784002e-05,5.5787373,298.18628,0.7997541,0.0,-1.1920929e-07,311.77252,0.0,0.0,-9.313226e-10,311.60385,310.29855,307.64072,-219486.0,20292758.0,-13311858.0,90915.1,0.0,26974432.0,32643144.0,273.16058,-8.7884255e-05,1.5657395e-05
246,27.55,63.0,2010-08-01,2.5431988,-3.26231,274.2071,305.59674,0.0,-7.465272e-05,6.4792233,296.2151,0.7996758,0.0,-1.1920929e-07,308.56842,0.0,0.0,-9.313226e-10,308.48508,308.01544,307.0944,-186556.0,19271980.0,-12734706.0,91183.46,0.0,25622130.0,31334952.0,273.15988,-7.455191e-05,1.3411045e-06
247,27.55,63.0,2010-09-01,2.5314112,-3.410686,267.55368,300.65265,0.0,-5.697878e-05,7.3056755,293.71408,0.79988563,0.0,-1.1920929e-07,302.7022,0.0,0.0,-9.313226e-10,302.80884,304.1382,305.63455,-142649.0,18135640.0,-13007706.0,91643.86,0.0,24108274.0,27791872.0,273.15988,-5.7029538e-05,3.874302e-07
248,27.55,63.0,2010-10-01,2.1059842,-1.548423,271.68314,298.91605,0.0,-4.7937967e-05,6.216551,293.21634,0.7998999,0.0,-1.1920929e-07,300.70956,0.0,0.0,-9.313226e-10,300.82602,302.14267,303.54453,-119741.0,15530726.0,-11837005.0,91945.86,0.0,20660170.0,27934868.0,273.16058,-4.788721e-05,3.2521784e-06
249,27.55,63.0,2010-11-01,1.6919162,-1.8773606,266.4637,289.06946,0.0,-2.4893787e-05,9.918863,288.5356,0.7944666,0.0,-1.1920929e-07,289.96927,0.0,0.0,-9.313226e-10,290.37827,294.41525,299.938,-61994.0,13307000.0,-10599625.0,92448.11,0.0,17573910.0,23750070.0,273.16058,-2.4841167e-05,1.3411045e-06
340,26.55,63.0,2010-02-01,1.0118761,0.31255245,275.48096,288.52643,-2.2165477e-07,-0.00050541933,8.705166,286.5949,0.7998536,0.0,0.4346869,291.5968,0.0,0.0,-9.313226e-10,291.6913,291.9443,293.23383,-1261798.0,16029479.0,-9642350.0,90656.59,2.2947788e-06,19347926.0,25583762.0,273.16058,-0.00050461385,0.00051665865
341,26.55,63.0,2010-03-01,1.604902,-0.027006388,271.11594,297.26724,-5.1711686e-07,-8.083857e-05,4.9459057,292.14655,0.79988563,0.0,0.4346869,301.65494,0.0,0.0,-9.313226e-10,301.20428,299.62595,297.432,-207077.0,19751472.0,-12838824.0,90537.59,0.0,24135128.0,27535690.0,273.16058,-8.274149e-05,2.2985041e-06
342,26.55,63.0,2010-04-01,2.3029451,0.71551704,274.84558,300.90454,-6.649643e-07,-0.00018742541,5.3630486,294.4508,0.7999532,0.0,0.4346869,305.80585,0.0,0.0,-9.313226e-10,305.42892,304.06073,301.62567,-470996.0,21499316.0,-12818601.0,90268.414,1.1473894e-06,26628874.0,29800392.0,273.15988,-0.00018825755,0.00021605752
343,26.55,63.0,2010-05-01,2.6681478,1.2710416,279.7003,304.0866,-8.1257895e-07,-0.00018864917,4.3579216,297.8126,0.79995674,0.0,0.4346869,309.99924,0.0,0.0,-9.313226e-10,309.4813,307.5506,304.4898,-473860.0,22036992.0,-12949226.0,89987.75,5.736947e-07,27408472.0,32114108.0,273.15988,-0.00018959073,0.0001416225
344,26.55,63.0,2010-06-01,1.8605868,0.89350367,286.13467,302.6897,-6.649643e-07,-0.0008930209,4.258974,298.86206,0.79994965,0.0,0.4346869,307.98676,0.0,0.0,-9.313226e-10,307.75626,306.8005,305.37048,-2236817.0,20754998.0,-10970730.0,89712.82,4.015863e-06,25876568.0,32955412.0,273.15988,-0.00089448877,0.00087069906
345,26.55,63.0,2010-07-01,1.9379566,2.1361926,290.12674,302.8942,-6.649643e-07,-0.00019972934,3.5200787,301.11234,0.7999532,0.0,0.4346869,310.295,0.0,0.0,-9.313226e-10,310.01013,309.01437,307.12952,-501540.0,19768726.0,-10365704.0,89510.94,5.736947e-07,24745248.0,34926036.0,273.16058,-0.0002004467,0.00017979555
346,26.55,63.0,2010-08-01,1.7729295,0.69878054,284.99515,302.6423,-6.649643e-07,-7.2681345e-05,3.498722,299.4277,0.79994965,0.0,0.4346869,309.2633,0.0,0.0,-9.313226e-10,309.091,308.54602,307.50696,-183215.0,19457758.0,-11436660.0,89700.516,0.0,24424780.0,33228774.0,273.15988,-7.321872e-05,4.2058527e-06
347,26.55,63.0,2010-09-01,0.42785168,-2.2442772,272.16663,300.83984,-5.1711686e-07,-7.220544e-05,4.470392,296.20013,0.7998928,0.0,0.4346869,305.2072,0.0,0.0,-9.313226e-10,305.30124,305.87317,306.4472,-182260.0,19174074.0,-13145162.0,90036.984,0.0,23952444.0,29130886.0,273.15988,-7.283781e-05,3.665127e-05
348,26.55,63.0,2010-10-01,0.4527129,-1.6639696,274.47363,298.6272,-3.6950223e-07,-5.507539e-05,5.0135307,294.44333,0.7998999,0.0,0.4346869,302.10217,0.0,0.0,-9.313226e-10,302.2728,303.1733,304.36966,-138831.0,16846022.0,-11980473.0,90361.97,0.0,20752172.0,28590732.0,273.16058,-5.5505894e-05,1.661107e-05
349,26.55,63.0,2010-11-01,-0.9232272,-3.8793092,265.87378,290.83612,-2.2165477e-07,-3.1147618e-05,9.117325,288.45972,0.7998536,0.0,0.4346869,293.06583,0.0,0.0,-9.313226e-10,293.63077,296.19012,299.93915,-78220.0,14875084.0,-11478744.0,90705.83,0.0,18032602.0,24343784.0,273.16058,-3.131712e-05,1.3411045e-06
440,25.55,63.0,2010-02-01,0.20988739,-0.101999044,282.3317,292.90088,0.0,-0.0009359141,5.6954803,292.09146,0.7999319,0.0,-1.1920929e-07,295.00754,0.0,0.0,-9.313226e-10,295.14017,295.47995,297.415,-2340380.0,14050114.0,-8652556.0,100141.06,4.015863e-06,19458858.0,28260274.0,273.16058,-0.000935819,0.001043424
441,25.55,63.0,2010-03-01,2.300159,0.45835352,282.33893,300.29562,0.0,-5.6638848e-05,4.8647556,295.9959,0.79994965,0.0,-1.1920929e-07,303.68298,0.0,0.0,-9.313226e-10,303.37863,301.9666,300.25082,-142172.0,17307862.0,-11548975.0,99761.09,0.0,24017152.0,29913072.0,273.16058,-5.7029538e-05,2.2985041e-06
442,25.55,63.0,2010-04-01,3.018777,1.5883925,286.45807,303.48,0.0,-6.710715e-05,5.0519714,298.56055,0.79997456,0.0,-1.1920929e-07,308.02072,0.0,0.0,-9.313226e-10,307.7177,306.15137,303.90268,-167466.0,19196944.0,-11653366.0,99408.2,0.0,26668492.0,32248008.0,273.15988,-6.693322e-05,7.0668757e-06
443,25.55,63.0,2010-05-01,2.8314605,2.0785801,292.17648,305.2097,0.0,-7.954682e-05,4.5522556,301.66623,0.799971,0.0,-1.1920929e-07,310.86536,0.0,0.0,-9.313226e-10,310.55704,308.7479,306.24094,-199441.0,20069262.0,-11015820.0,99030.7,0.0,27603922.0,34575870.0,273.15988,-7.9694204e-05,4.2058527e-06
444,25.55,63.0,2010-06-01,0.8487779,2.076327,296.39066,303.45688,0.0,-0.0009588221,3.880272,303.31448,0.799971,0.0,-1.1920929e-07,308.81042,0.0,0.0,-9.313226e-10,308.61636,307.93207,306.7249,-2396696.0,18072644.0,-8444869.0,98760.7,2.2951514e-05,24780904.0,35976532.0,273.15988,-0.0009582937,0.0017543696
445,25.55,63.0,2010-07-01,0.8524214,2.8687384,296.75433,304.1363,0.0,-0.0001505143,3.9557285,303.74915,0.7999674,0.0,-1.1920929e-07,310.69553,0.0,0.0,-9.313226e-10,310.4944,309.88184,308.56216,-377455.0,16979640.0,-7717962.5,98545.69,0.0,23468660.0,37795064.0,273.16058,-0.00015092688,4.9056485e-05
446,25.55,63.0,2010-08-01,1.777859,2.4821885,295.66748,303.0259,0.0,-8.314964e-05,4.0518265,302.55798,0.79997456,0.0,-1.1920929e-07,309.14725,0.0,0.0,-9.313226e-10,309.06088,308.85474,308.32074,-208032.0,16619718.0,-8333646.5,98786.14,0.0,22957146.0,36263030.0,273.15988,-8.31224e-05,2.0429492e-05
447,25.55,63.0,2010-09-01,1.3303568,0.9820144,289.22687,302.25525,0.0,-6.173714e-05,3.3428288,301.50745,0.79997456,0.0,-1.1920929e-07,307.17017,0.0,0.0,-9.313226e-10,307.19492,307.42264,307.57837,-154580.0,16508170.0,-10627226.0,99118.516,0.0,23017894.0,32804836.0,273.15988,-6.1790925e-05,6.1132014e-06
448,25.55,63.0,2010-10-01,0.6966101,0.44805408,288.43033,301.39444,0.0,-5.548331e-05,3.4197083,300.03293,0.7999674,0.0,-1.1920929e-07,305.06003,0.0,0.0,-9.313226e-10,305.12656,305.5351,306.18652,-138354.0,14609055.0,-10009629.0,99500.945,0.0,20366994.0,32217692.0,273.16058,-5.5314973e-05,1.4703721e-05
449,25.55,63.0,2010-11-01,-0.6994761,-2.2265751,271.8288,297.2765,0.0,-4.0188665e-05,5.549551,294.3984,0.79987496,0.0,-1.1920929e-07,298.33054,0.0,0.0,-9.313226e-10,298.74323,300.45233,303.0889,-100651.0,13023717.0,-10850216.0,99976.11,0.0,18052850.0,27659486.0,273.16058,-4.0268525e-05,1.3411045e-06
660,29.35,63.1,2010-02-01,-0.50873053,1.6859148,270.48987,286.37848,0.0,-0.0005307745,18.201904,283.13742,0.69055617,0.0,0.17687249,287.37228,0.0,0.0,-9.313226e-10,287.34985,287.1034,287.8399,-1328135.0,13001648.0,-8760772.0,89827.72,4.015863e-06,17983740.0,24433220.0,272.23907,-0.0005310881,0.0005815495
661,29.35,63.1,2010-03-01,0.23431993,-0.9880705,270.56113,293.97427,-7.4040145e-08,-0.00015622424,7.4039106,287.9085,0.7778932,0.0,0.17687249,296.6563,0.0,0.0,-9.313226e-10,296.28217,294.94348,292.87228,-390818.0,17193504.0,-11651179.0,89816.23,5.736947e-07,23593678.0,26030436.0,273.16058,-0.00015625963,7.864088e-05
662,29.35,63.1,2010-04-01,0.42270803,-1.4396355,272.3154,299.41058,-7.4040145e-08,-5.922187e-05,4.975092,292.94153,0.79987496,0.0,0.17687249,303.59665,0.0,0.0,-9.313226e-10,303.09918,301.27405,298.24353,-148376.0,19204568.0,-12438205.0,89507.66,0.0,26281994.0,28910580.0,273.15988,-5.9315003e-05,2.4246052e-05
663,29.35,63.1,2010-05-01,1.1494701,-2.2912683,273.85168,303.37024,-7.4040145e-08,-7.621618e-05,4.601372,296.14346,0.79987496,0.0,0.17687249,307.9641,0.0,0.0,-9.313226e-10,307.52136,305.86493,302.8577,-190851.0,20540330.0,-13085862.0,89209.75,0.0,27980294.0,30694752.0,273.15988,-7.6266006e-05,2.9018149e-05
664,29.35,63.1,2010-06-01,2.9819136,-3.5983284,271.63766,304.74405,-7.4040145e-08,-7.675984e-05,6.9540234,294.84482,0.7998145,0.0,0.17687249,308.19904,0.0,0.0,-9.313226e-10,307.8936,306.72067,304.44446,-192283.0,21484470.0,-13860864.0,88902.82,0.0,29233110.0,29972190.0,273.15988,-7.683737e-05,4.2058527e-06
665,29.35,63.1,2010-07-01,3.5554364,-3.1718683,274.4664,304.99823,-7.4040145e-08,-7.655588e-05,6.622303,295.95688,0.79959404,0.0,0.17687249,308.71136,0.0,0.0,-9.313226e-10,308.52963,307.8464,306.233,-191805.0,20634624.0,-13485934.0,88673.03,0.0,28158576.0,30644224.0,273.16058,-7.664692e-05,1.3411045e-06
666,29.35,63.1,2010-08-01,4.036801,-3.8970113,272.86917,302.64346,-7.4040145e-08,-6.234879e-05,7.9157286,293.6232,0.79948026,0.0,0.17687249,305.44922,0.0,0.0,-9.313226e-10,305.36386,305.10193,304.6156,-156012.0,19452942.0,-12516634.0,88936.47,0.0,26591896.0,29749864.0,273.15988,-6.236229e-05,3.874302e-07
667,29.35,63.1,2010-09-01,3.3925524,-4.009661,269.4774,297.3204,-7.4040145e-08,-4.576263e-05,8.543576,291.19543,0.7996652,0.0,0.17687249,299.69623,0.0,0.0,-9.313226e-10,299.88522,300.8761,302.2683,-114491.0,17605990.0,-12505157.0,89365.68,0.0,24088026.0,26648908.0,273.15988,-4.57922e-05,1.3411045e-06
668,29.35,63.1,2010-10-01,1.5076003,-2.134846,272.03854,295.86456,-7.4040145e-08,-4.3587293e-05,6.990328,291.21094,0.7998572,0.0,0.17687249,297.42053,0.0,0.0,-9.313226e-10,297.60846,298.6059,299.80084,-109241.0,14532818.0,-11173225.0,89661.94,0.0,19975214.0,26857592.0,273.16058,-4.369719e-05,3.283471e-05
669,29.35,63.1,2010-11-01,0.75790584,-2.9279008,267.64044,286.56448,0.0,-1.9931467e-05,9.417012,286.75314,0.798922,0.0,0.17687249,287.5308,0.0,0.0,-9.313226e-10,288.0883,290.85147,294.9124,-50063.0,12199550.0,-10347121.0,90114.95,0.0,16841854.0,22831456.0,273.16058,-1.9889325e-05,1.3411045e-06
730,28.65,63.1,2010-02-01,-0.5102309,0.21857023,272.04266,289.90253,0.0,-0.00067705975,9.508128,285.77637,0.796785,0.0,0.025231719,291.75812,0.0,0.0,-9.313226e-10,291.7925,291.33743,294.69934,-1693231.0,14134778.0,-9644810.0,94699.21,2.8684735e-06,17638180.0,25676734.0,273.16058,-0.00067698164,0.00081057847
731,28.65,63.1,2010-03-01,0.26989722,-1.1695977,270.31836,298.3083,0.0,-0.00010531,4.599949,291.24194,0.7985202,0.0,0.025231719,302.6159,0.0,0.0,-9.313226e-10,302.34628,300.3279,296.95938,-263393.0,18954590.0,-13318417.0,94517.016,0.0,23581792.0,27555902.0,273.16058,-0.00010521617,2.7108938e-05
732,28.65,63.1,2010-04-01,0.37405717,-1.2877191,272.6078,303.74576,0.0,-8.682045e-05,3.6773968,296.09482,0.7999319,0.0,0.025231719,309.18546,0.0,0.0,-9.313226e-10,308.85126,306.2664,301.2131,-217100.0,21147020.0,-14049968.0,94120.64,0.0,26375316.0,30506280.0,273.15988,-8.693198e-05,1.2792647e-05
733,28.65,63.1,2010-05-01,0.9115739,-1.7128918,274.0614,307.67767,0.0,-0.00010809698,3.726513,299.20157,0.79991764,0.0,0.025231719,313.301,0.0,0.0,-9.313226e-10,313.00482,310.68945,305.18686,-270552.0,22181040.0,-14559622.0,93753.8,0.0,27636496.0,32413744.0,273.15988,-0.000108073,4.2058527e-06
734,28.65,63.1,2010-06-01,1.9257404,-3.246861,272.50653,309.01566,0.0,-0.000108232955,5.360201,298.29855,0.79975766,0.0,0.025231719,313.59396,0.0,0.0,-9.313226e-10,313.3831,311.787,307.55795,-270552.0,23042924.0,-15191976.0,93414.04,0.0,28715872.0,31880664.0,273.15988,-0.000108263455,1.2792647e-05
